ticker,company,quarter,earnings_date,quarters_behind,n_history,density_qa,density_z,density_pctile,change_vs_prev_call
GIS,General Mills,2024Q3,2024-09-18,2,42,1.0131712259371835,1.3623744195434395,92.85714285714286,0.48578785879722397
LHX,L3Harris,2025Q1,2025-01-30,0,42,1.1452368558042685,1.3436520720618863,90.47619047619048,0.428542083460255
FICO,Fair Isaac,2024Q4,2024-11-06,1,43,1.3692946058091287,1.3362108588047137,86.04651162790698,0.15195493835069618
ISRG,Intuitive Surgical,2025Q1,2025-01-23,0,41,1.2171267115844382,1.3338217567445465,87.8048780487805,0.12123630062553414
DOC,Healthpeak Properties,2024Q4,2024-10-25,1,41,1.22304879586433,1.314698071116776,92.6829268292683,0.10085428214861913
CTRA,Coterra,2024Q4,2024-11-01,1,42,1.227524204702628,1.3047298900973456,88.09523809523809,0.1509691807791831
V,Visa Inc.,2024Q4,2024-10-29,1,43,1.2563367864227464,1.2965794407841924,88.37209302325581,0.1773253001714412
TYL,Tyler Technologies,2024Q4,2024-10-24,1,42,1.3244024965748211,1.2928360363421605,92.85714285714286,0.5660433100874029
FDX,FedEx,2024Q3,2024-09-19,2,38,0.9164420485175202,1.266208670002618,92.10526315789474,0.16800130007677172
TT,Trane Technologies,2025Q1,2025-01-30,0,43,1.1683759574191872,1.243870502999766,88.37209302325581,0.14453509154234068
DAL,Delta Air Lines,2025Q1,2025-01-10,0,40,1.0273431326062905,1.239880564337867,92.5,0.26279328083534337
TTWO,Take-Two Interactive,2024Q3,2024-08-08,2,43,1.1853136744723909,1.2331544862242725,81.3953488372093,0.6616342573503508
MAS,Masco,2024Q4,2024-10-29,1,42,1.2504962286621675,1.2216774106128356,76.19047619047619,0.5449790845955667
NDSN,Nordson Corporation,2024Q4,2024-12-12,1,41,1.117123407226392,1.2132029548886263,90.2439024390244,0.2321676550140026
WY,Weyerhaeuser,2025Q1,2025-01-31,0,43,1.1434511434511436,1.212614710941763,88.37209302325581,0.11876553562627179
LNT,Alliant Energy,2024Q4,2024-11-01,1,38,1.5826494724501756,1.2029316298939614,84.21052631578947,0.33376454827533175
JCI,Johnson Controls,2024Q4,2024-11-06,1,43,1.0901304263188631,1.1785405034844365,88.37209302325581,0.22758684033978438
VICI,Vici Properties,2024Q4,2024-11-01,1,26,1.313910311339617,1.1711381815127506,92.3076923076923,0.24186238449112274
EQIX,Equinix,2024Q4,2024-10-30,1,42,1.0885700148441364,1.171138120215738,88.09523809523809,0.2113770323879961
SNA,Snap-on,2024Q4,2024-10-17,1,40,1.173563928350834,1.1678802578289305,87.5,-0.0423977089158214
JPM,JPMorgan Chase,2025Q1,2025-01-15,0,43,1.4190317195325544,1.1674479733943226,88.37209302325581,0.34086460362958926
GWW,W. W. Grainger,2025Q1,2025-01-31,0,32,1.1681268251981645,1.1562973245600296,90.625,0.028624062767225178
GM,General Motors,2025Q1,2025-01-28,0,43,1.1584875301689461,1.1542784311981666,88.37209302325581,0.011503672904714879
EQR,Equity Residential,2024Q4,2024-10-31,1,40,1.2752511003272768,1.1440144117824043,90.0,0.10768630689643266
TFX,Teleflex,2024Q4,2024-10-31,1,42,1.097266133531709,1.1226978666524643,85.71428571428571,0.23705107976826822
GEN,Gen Digital,2024Q3,2024-08-01,2,42,0.9003775776938717,1.108771669818795,80.95238095238095,0.17045057039460165
SMCI,Supermicro,2024Q4,2024-11-05,1,37,1.4496197718631179,1.0720583442860654,89.1891891891892,0.5047724855524169
GOOGL,Alphabet Inc. ,2024Q4,2024-10-29,1,42,0.8362676056338028,1.060496405056535,90.47619047619048,0.281832121762835
MAA,Mid-America Apartment Communities,2024Q4,2024-10-31,1,42,1.1297234125438256,1.042619661488967,92.85714285714286,0.16990769716117904
INCY,Incyte,2024Q4,2024-10-29,1,42,1.098728614032334,1.0069743739940038,88.09523809523809,0.30286709393683053
COO,Cooper Companies (The),2024Q4,2024-12-05,1,43,1.1674301758534062,1.0045724630811679,83.72093023255815,0.25928665940260975
ALLE,Allegion,2024Q4,2024-10-24,1,42,1.1275272161741834,0.9958283568110149,83.33333333333334,0.1539528072729317
AEP,American Electric Power,2024Q4,2024-11-06,1,41,1.240196972460332,0.977859442127453,92.6829268292683,0.20884383714680066
BKNG,Booking Holdings,2024Q4,2024-10-30,1,41,1.0202346539704132,0.9668043371732838,80.48780487804879,0.07995091922940367
CMI,Cummins,2024Q4,2024-11-05,1,36,1.1771747805267359,0.9607811489749161,88.88888888888889,0.08617552438986498
PTC,PTC Inc.,2024Q4,2024-11-06,1,43,1.2596401028277635,0.9541012298675767,81.3953488372093,0.09004945955290977
MTB,M&T Bank,2025Q1,2025-01-16,0,43,1.162219675888034,0.9512405689978392,83.72093023255815,0.0545699701074871
KEYS,Keysight Technologies,2024Q4,2024-11-19,1,39,0.9662828947368421,0.9402456216920174,82.05128205128204,0.030091714643223022
FTNT,Fortinet,2024Q4,2024-11-07,1,42,1.3182355923609939,0.938900764738217,73.80952380952381,-0.04532609648408581
AZO,AutoZone,2024Q4,2024-12-10,1,44,0.9979076130693707,0.9382877282841942,86.36363636363636,0.20528386670896948
BK,BNY Mellon,2025Q1,2025-01-15,0,42,1.1124220461823697,0.934298047819267,85.71428571428571,0.3126318272234081
TEL,TE Connectivity,2025Q1,2025-01-22,0,44,0.906801007556675,0.9124807999935887,86.36363636363636,0.0491958295631475
SO,Southern Company,2024Q4,2024-10-31,1,41,1.1894789747026302,0.9118683946539023,82.92682926829268,0.035879316509936254
DOV,Dover Corporation,2025Q1,2025-01-30,0,43,1.0892333472978635,0.9068264769123039,79.06976744186046,0.2107001158234555
WMB,Williams Companies,2024Q4,2024-11-07,1,35,1.0930576070901035,0.8879900680760424,85.71428571428571,0.012346252780937927
