ticker,n_quarters,pearson_r,pearson_p,spearman_rho,spearman_p,mean_growth,median_growth
VRSK,42,0.27601481663829064,0.07683578080348459,0.32242119763390326,0.03730197019164047,2.528328995981188,2.645387762850566
PH,43,0.2753126117127321,0.07396066384113237,0.24630021141649047,0.11135254382872657,3.446716504362467,4.033742331288356
NKE,34,0.2742938359929493,0.11645000897906722,0.19938884644766997,0.25824997382756454,1.4633951501924134,2.136939826571864
FIS,38,0.2725627586307754,0.09780758959111772,0.19312835102308787,0.24534489904389098,1.1450460879811382,2.67142108124904
MRK,41,0.2688365467597709,0.08920477585425125,0.2813588850174216,0.07474004758192695,4.579397691881861,1.8867924528301845
ESS,42,0.26707293644908486,0.08730118005718011,0.2929260189611863,0.05975229043894983,2.578115208122741,3.945353040749348
EFX,41,0.26664409979357007,0.09194628103345798,0.34564459930313596,0.026864479674547356,1.641797153365622,1.9446415897799922
DVN,42,0.2612416498669982,0.09470062437403126,0.32663479458714856,0.03475129832847975,27.04644423411425,-1.6279770877298785
EW,42,0.25143185823472997,0.10822725168870717,0.558868811279475,0.0001196693154583298,5.708566341352809,4.762731481481469
HWM,18,0.2506890244359663,0.31568286560883213,0.07533539731682146,0.766392281347839,1.906831899960385,7.241041668063874
ALB,42,0.2502840421252726,0.10990142679688424,-0.08986305809901955,0.5714271855593632,3.087193728642106,1.5698969800688403
ETR,42,0.2499033405661005,0.11046103316258732,0.25192447937768414,0.10751471034841814,0.7902320083531351,1.361596644208464
EQIX,42,0.24758744774462058,0.11391199178489847,0.2465764524754882,0.11544384610844044,5.1573888589931824,5.6717623930468815
LYB,43,0.23407558487631472,0.1308437321435652,0.3267894895801872,0.032446460145922014,1.0390541835635385,-1.0478359908883685
ORLY,42,0.23112749455534398,0.14083265842461992,0.056802528158171946,0.7208659276485314,4.608145073268533,4.255865998659737
HII,42,0.23062053025855697,0.14173059206443558,0.2725062798800746,0.08081813698715634,2.8721698951141628,1.9540664268332235
REG,42,0.23024501076741127,0.1423984333068064,0.15614617940199335,0.323408342884187,3.522641448953027,0.8841919521270427
SPG,42,0.2269094961333458,0.14843277784225026,0.09974880479701807,0.529671291094316,1.656653660796226,1.324228659076161
AXP,42,0.22151862434554725,0.15857936838232067,0.1926099991896929,0.22168226783250888,2.9135256121499893,2.6348394301581552
TEL,43,0.22026993608647405,0.1557984729821952,0.24176985804892784,0.11830047228208383,2.0091215024568907,2.6912928759894426
WYNN,42,0.21966827611002923,0.16217585286378813,0.23312535450935903,0.1373349872357618,3.2601668201767486,5.1859484442750325
TXT,40,0.21645450394685573,0.17974655076372698,0.2795497185741088,0.08064047602343713,3.243813901675955,3.984391441769527
INTC,43,0.21510840887803453,0.1659688427342872,0.12564180006040473,0.42209066007418855,-4.984016476865627,1.2499999999999811
AEP,41,0.2150523174395977,0.17692531260680894,0.25557491289198614,0.10679196002036877,1.3859629481093565,1.354166666666675
HOLX,42,0.21486296309563857,0.1717916721170973,0.035734543391945546,0.822236769274584,3.109630770005783,1.8497267507386261
WRB,42,0.2140392019237094,0.17348043872054061,0.17348675147881049,0.2718772269499915,4.084088627426684,4.353518135583752
CMG,40,0.21391801085281892,0.18502591478840305,0.0900562851782364,0.5805167958190032,7.981624866639978,7.60852090032154
TSLA,43,0.2134187201322454,0.16940042699080984,0.34853518574448805,0.021992579708186643,-23.658550877201268,-0.7205764611689447
AMAT,43,0.21300868030260325,0.17024084452624472,0.12790697674418605,0.41370433554588437,6.04075957707191,4.859273514553763
TPR,43,0.20940642967176845,0.17775362375359657,0.017668378133494412,0.9104634823149019,3.0934101325800856,1.9417475728155356
TSN,43,0.20723661987087602,0.18239203709130006,0.003926306251887648,0.980064608427925,2.33276559250297,4.332810047095758
KDP,24,0.20481023475806084,0.3370414976506055,0.08956521739130434,0.6772689468428974,0.6373853265239563,2.5069947151041503
LNT,38,0.19696479608077175,0.23591184804261786,0.21851406061932377,0.18750104958129019,1.4090614185235502,1.437589875723756
JCI,43,0.19662504476116305,0.2063225262967441,0.025974025974025976,0.8686827253863876,1.9409698504077033,1.8861209964412788
BMY,42,0.1965581754564608,0.21217274192837166,0.08856656672879022,0.5770129839512753,1.4769485980068862,2.2484265855176684
EXR,42,0.19637253752192982,0.21261341111135962,0.19244793776841423,0.22207878092071862,3.270587727709617,1.2526175518751184
GLW,43,0.19452230397814227,0.21131358230737382,0.2077922077922078,0.1811962079736664,1.1313994174813813,1.7915309446254029
CTSH,42,0.19330901558705874,0.21997758715887356,0.15177052102746943,0.3373191837239849,1.9445053183311896,2.4516037869153617
PCAR,43,0.19215432995120701,0.21703410369911835,0.14572636665659922,0.35111756354740503,3.3419329847523547,3.2712511938873083
UHS,41,0.19159895995551543,0.2301206094010666,0.17038327526132407,0.2868496404277077,2.945425858047496,2.71622587562544
SMCI,34,0.1907628434517126,0.27983702062262844,0.23730893785507567,0.17657497177784917,9.28989746831871,5.416666666666671
LHX,40,0.18743559969983428,0.24680034356281247,0.22082551594746722,0.17090262558602926,2.099385202479256,1.6727597866773296
CMCSA,43,0.18450376843602825,0.23624593848886513,0.22591362126245848,0.1452076433661937,2.866744994638035,3.32326283987915
ROST,40,0.18429592215804985,0.25494793740520744,-0.05534709193245779,0.734454568730975,3.8477717352593963,3.224768444490704
SO,41,0.18323542213265517,0.25149062607093076,0.18737749919773067,0.2407465046770022,0.8706192168490706,0.7360000000000042
WEC,42,0.17859456234501042,0.2577931670664337,0.16239212362910013,0.3041846707762293,1.5398544117932682,1.5188634089029995
CE,41,0.17756465561591733,0.26671398939284785,0.15801393728222998,0.3237848073350895,1.862978932341454,2.575757575757575
HPE,35,0.17097358865085513,0.32609280028440596,0.23025210084033615,0.18329434101386846,0.43499105032577057,1.8218623481781393
CMI,30,0.16881339229090225,0.3725192402704951,0.16129032258064516,0.39450240707300044,2.5437854010586514,2.801606568108661
OTIS,18,0.16740848294992267,0.5067065025773857,0.038183694530443756,0.8804304907652737,3.596885909593109,3.045784070452003
PARA,40,0.16587779502096653,0.30633395815115166,0.19343339587242028,0.23172704032745622,-2.3072881885823144,0.6544972706190642
DHI,43,0.16539930183821736,0.28916378798825254,0.05119299305345817,0.7444116252585928,5.672645284301791,4.708097928436912
CCL,38,0.164949246851406,0.32234568453848805,0.12725681146733778,0.44644092236986477,75.6324027608638,5.186046511627907
LMT,43,0.16244863800291626,0.29797278552354833,0.16505587435819996,0.29018028630558823,2.428538521782623,2.45119305856832
DFS,40,0.1615400267415368,0.31933186618780246,-0.11369606003752347,0.4848362053463604,3.8382866030009075,1.1749736940701192
FTNT,42,0.16007839564075674,0.3112188813676335,0.13257698584860936,0.402608636072824,7.526884376510336,7.851153039832288
WTW,42,0.15735909741018014,0.3196169250198756,0.2948707560165303,0.057999605504856826,4.75812501704411,2.67233245872459
FFIV,43,0.15702171023783765,0.31462033250335875,0.1413470250679553,0.36593550082839627,2.4423177927288098,2.840323767476093
JBL,43,0.1564143861577007,0.3165192705131466,0.15690123829658714,0.31499644109143504,5.425118912501941,3.6217303822937654
PSX,42,0.1529601877555654,0.3335009709674451,-0.03703103476217487,0.8158966913655269,32.48339506486169,1.5291461723555126
DD,27,0.1483925794681022,0.4600958225489829,0.15079365079365079,0.45278548108050787,-3.0204577710143763,0.2890173410404691
CDNS,42,0.1463770618362635,0.3549664014713045,0.2948707560165303,0.057999605504856826,4.548124900844005,4.514295088113984
UNP,43,0.14630898135170997,0.34917422097797546,0.1502567200241619,0.3361801900086385,1.9715592166782443,3.0873786407766954
PNW,42,0.144370864492539,0.36167102070737406,0.022769629689652376,0.8861881224942195,0.6176720556598982,0.6497853638593594
EVRG,25,0.14360316683198662,0.49345827736031794,0.26692307692307693,0.19710580890279145,1.8004269531019994,1.843137254901967
GILD,42,0.14355920805034317,0.36440508649984643,0.15339113524025608,0.33212449853346404,2.422457879271792,-1.4152990473846674
CINF,42,0.1420259471013354,0.3696036697529605,0.17770034843205576,0.2602229923396823,2.526398450159678,2.0429139825691505
MMM,42,0.14172596495687445,0.3706259321123379,0.13005429057612838,0.4116991666923273,0.4930966598524292,1.375415626647654
TECH,43,0.1374059880289003,0.3795863783519739,0.17049229839927516,0.27436051103719156,1.9914424776934114,1.5267175572519098
AJG,43,0.13720042423986425,0.3803065772397552,0.20945333736031413,0.17765429170547864,3.6329142250337334,3.06748466257669
FMC,40,0.1341241810727278,0.4093064455610362,0.2442776735459663,0.12874345753980182,0.5377193662461833,1.4056419334690897
CMS,42,0.1324608551654258,0.4030245534350947,0.038975771817518844,0.8064083922378119,1.598446846094204,1.7683479783607923
SBUX,43,0.12829462064967773,0.4122787487251124,0.24010872848082151,0.12092842582525234,3.5303815302782917,4.0372670807453455
PEG,42,0.1261697282919172,0.42592374248159515,0.09164573373308484,0.5637873811358913,0.7918337190697065,0.9593811080268755
RJF,35,0.12464212138972251,0.4755970221468682,0.18067226890756302,0.29897627701097196,3.9712292938062457,3.3098209441128565
CCI,42,0.12316016613654557,0.4371312412394672,0.17640385706182646,0.26377291054957325,7.194294674181776,5.864872068230268
NFLX,12,0.12037369796575695,0.7094168684662814,-0.055944055944055944,0.8628980736949713,9.698097398215044,10.800812400318987
MSCI,43,0.1196047278144127,0.4449041695422009,-0.0012080942313500453,0.9938654769066337,4.6249000665893005,4.897435897435905
EPAM,42,0.11932831499111674,0.4516343021012354,0.14707073981038815,0.35266583759402875,4.450060134588055,5.439931765389078
PG,43,0.11745273181308696,0.45319699385693357,0.1644518272425249,0.2919737944785921,1.148413730242884,1.5566156163695664
ES,42,0.1169549689360859,0.46074669898385956,0.060854063690138564,0.7018437885871387,1.4708524623783827,1.27600613489359
ETN,43,0.11670106539904719,0.4561132462200653,0.05406221685291453,0.7306092067245654,2.3117159944267116,2.8329243809948843
MSFT,43,0.11630394819745482,0.4576580407714871,-0.03171247357293869,0.8400140495227025,3.6771113308139394,4.008264462809916
ROP,43,0.11584042132624287,0.45946474105248286,0.1638477801268499,0.2937744582987407,2.7647811207060404,2.821407795229784
GEN,39,0.11524084951601005,0.484804126168809,0.015182186234817815,0.9269100769966163,0.6170912442689415,1.8469656992084391
COST,35,0.1145070371306496,0.5124742069979693,0.08627450980392158,0.6221604009337274,3.4396260567141677,3.1793529081728056
AVGO,40,0.11256576918428994,0.4892161480223435,0.039399624765478425,0.8092628709833335,6.700848174138552,5.8160615755552385
MKC,20,0.11063268701583287,0.6424065298216379,0.03308270676691729,0.8898759648856192,2.3534349348161054,2.519851084832397
INCY,42,0.1100706072545594,0.4877295710562263,0.16279069767441862,0.30298326168606704,27.93381103791477,9.456844134658162
AON,43,0.10944768847542875,0.4847699888142821,0.1686801570522501,0.27956944434868775,2.685667306598687,2.3415492957746484
ABT,43,0.10898599595128836,0.4866252783482527,0.09075807913017214,0.5627240568323357,2.022187249335325,2.0904229460379264
CHRW,43,0.10684985157303253,0.4952571449205168,0.07686499546964663,0.6241969949136722,1.6326474853922208,2.285714285714288
BRO,41,0.10605310429752625,0.5092950868153598,0.09634146341463416,0.5490358810363667,3.892699414801212,3.4345047923322625
JKHY,43,0.10401654106812679,0.5068264668914464,0.12428269405013591,0.42716815278810966,2.096651373937105,2.2284122562674114
CME,41,0.09388803257263123,0.5593028637768003,0.013763066202090595,0.9319392332300964,2.7959124813673624,2.566788894709264
O,41,0.09190091154884435,0.5676835192478762,0.07770034843205577,0.6291880557436494,0.6184807848065367,0.6201550387596905
PWR,42,0.09097832287441569,0.5666420764148922,0.19471679766631556,0.21657196021463257,4.295909651493462,6.247212310437109
CPT,42,0.08991859010865765,0.571188485413729,0.03200713070253627,0.8405254495614819,4.293672951567025,-3.174230712603065
NWSA,43,0.08791316120267317,0.5750804260571936,0.13666565992147386,0.3821839233956706,1.6777376948828382,1.2658227848101276
LUV,43,0.08765539793136211,0.5762060454331311,0.1549380851706433,0.32116538834230424,-26.772745254841503,4.653909756673755
GNRC,41,0.08734470938287621,0.5871141286473449,0.0667247386759582,0.6785105150714894,1.4325835606586257,2.8272251308900476
FICO,43,0.08412405203210792,0.5917267730160847,0.015554213228631831,0.9211413050125887,5.574904623023522,5.498509440211988
C,43,0.08411364983822,0.5917727638601389,0.0006040471156750226,0.9969327166296977,1.7246778265182166,1.1605750909405885
CTAS,21,0.08296077780275046,0.720708543540861,-0.04675324675324675,0.8405105142403159,6.0892678115959775,3.81861575178998
KKR,42,0.08118710817676023,0.6092676347061836,0.19098938497690626,0.22566939120432086,2.5243896193165236,-0.28505743939077605
TMO,42,0.08066766406770957,0.6115668267472899,-0.03767928044728953,0.812730967883022,3.248082823772492,2.8430414924059013
OXY,42,0.0793457353274164,0.6174346130119591,0.08856656672879022,0.5770129839512753,104.50957469098833,-6.520943030207052
TAP,42,0.07794765247521238,0.6236660864536254,0.29243983469735035,0.06019699772626623,1.4976843522027508,0.23378736896157384
NUE,43,0.0773536605793204,0.621988018078029,0.11522198731501056,0.46188120320508086,6.326737854072781,0.6896551724137907
SBAC,38,0.07623148946402691,0.6491901221237983,0.06335485282853703,0.7055202344939726,-36.01543088752629,15.247943386956845
CLX,42,0.07502371848674369,0.6367821896059896,0.16311482051697593,0.3020085089876901,1.1100541491389866,1.507026936590259
OKE,39,0.07169319735795292,0.6644948044659611,0.06619433198380567,0.6888814593931062,2.2329761205944476,2.6960110041265564
FOXA,14,0.07158334963733459,0.8078664206337989,-0.09010989010989012,0.7593388378159543,1.7982572644845942,0.25780121285739116
NDAQ,43,0.06920076399913488,0.6592582803128698,0.126698882512836,0.41816516391385505,2.6996848091848196,2.2304832713754665
DUK,36,0.06806013819591686,0.6932806110195898,0.009266409266409266,0.9572240897112231,0.7829789509912141,0.9767776162251923
CF,42,0.06673167054886155,0.6745673564144418,0.0007292763957539907,0.9963428169906466,10.59914979638219,-4.019643471274839
WFC,43,0.06632457007221339,0.6726095100399886,0.03805496828752643,0.8085651524339448,5.881154658159942,0.5359317904993751
PANW,39,0.06211107929905952,0.7071944998155091,0.019635627530364373,0.9055557237283193,10.585420678649092,8.390410958904118
NOW,41,0.05931685766450612,0.7125809495672857,-0.12247386759581884,0.44555771859128784,18.026658216364776,9.318564892848554
IT,42,0.058125687926285176,0.7146346895301096,0.04853739567296005,0.7601793332783856,4.522045966135183,2.299740798341112
APA,42,0.05659236066284058,0.7218573374659427,0.11887205250790049,0.45337845651535996,29.765015557444,-5.918486980130819
CTVA,19,0.056223443773184105,0.8191683445192147,0.1,0.6837719442525738,4.249497552829468,3.9719626168224282
MDT,43,0.055961079889031824,0.7215203797990525,0.03775294472968891,0.8100563974267603,0.889539958881834,1.1536444677503943
TFC,41,0.05451731505100097,0.7349580898878652,0.09181184668989549,0.568060497313544,0.7641711769790498,0.41095890410959246
MO,43,0.053737698396363,0.7321661909250334,-0.030806402899426155,0.8445280991749554,1.7641173597506195,1.4167650531286802
TSCO,43,0.05290896040128932,0.7361471416349122,0.10646330413772273,0.4968274985683923,3.5108079345816376,2.9168959823885614
BBY,41,0.050018270083806354,0.7561327893640872,-0.07787456445993032,0.6284171281418497,2.571571014552454,2.9319781078968017
TJX,43,0.04903785140797567,0.7548314516382485,0.09015403201449713,0.5653372765633915,4.353108489054851,2.4930747922437697
KMI,42,0.048700196913840324,0.7593988104893861,0.02179726116198039,0.8910185758285164,0.36749927218772727,0.4112462292609355
TXN,41,0.046234793232586946,0.7740776591191842,0.045818815331010454,0.7760579095582293,2.31552961721611,3.8390804597701313
TRV,43,0.04510325229822751,0.7739647603707454,0.073542736333434,0.6393005602854119,2.0476879893166613,1.2664165103189473
NEM,42,0.04447608140300546,0.7797247801867752,0.10955795965396375,0.48977113282257845,1.880010339303286,2.8883542964983002
BLK,43,0.042525286453180135,0.7865738555551735,0.007852612503775296,0.9601411984735971,2.2500069184414517,2.8816199376947025
LLY,41,0.03646996193059595,0.8209096414805277,-0.20000000000000004,0.20993874257441783,3.6734382485169825,3.340292275574101
PFE,42,0.0348476206977839,0.826580449130013,-0.027469410906733657,0.8629012873756073,1.4411333605885577,1.6679096129465254
AAPL,43,0.03118106091528607,0.8426609459125343,0.040471156750226514,0.7966597071034044,3.7936747721559714,2.645985401459846
AMZN,41,0.030886903603403792,0.8479755552731174,0.01236933797909408,0.938817733031394,72.67381033998187,15.555555555555555
HSIC,42,0.030857754535528716,0.8461821179076864,0.06717445912000648,0.6725285330534112,1.6250027425301665,2.3865907264181003
ADP,43,0.028445282283840904,0.856313986354542,-0.06357595892479613,0.6854621290519449,2.686722845909769,2.890173410404627
WELL,42,0.027165327066898108,0.8644047385202291,-0.019690462685357752,0.9014976882298207,4.782495104886057,0.25135192537044787
PYPL,34,0.026792123227775695,0.880443556128053,0.0912146676852559,0.607919242605085,3.7795851969626684,4.584794096303042
EA,42,0.024587795221136306,0.8771670249813945,-0.031683007859978934,0.8421198349670527,4.3294837186140525,4.032051282051286
DXCM,41,0.024358699555187394,0.8798411392260643,0.0799651567944251,0.6191965534600609,16.59410931313869,6.185567010309284
F,42,0.024022206313669334,0.8799716883139538,0.10914836723118063,0.4914054622783217,32.7986705079109,-0.5800266129857726
